Year,Region,Product Type,Sales Volume (KL),Revenue (Crores),Sales Growth %,Market Share %,Gross Margin %,Expansion Events
1942,India,Decorative Paints,48021,3582,13.88%,40.53%,15.27%,Major sales growth
1942,India,Industrial Coatings,43880,7106,8.89%,44.06%,21.12%,New product line
1942,India,Automotive Coatings,13129,6015,14.67%,26.81%,19.79%,Market leader
1942,India,Protective Coatings,11461,1155,6.08%,12.70%,16.47%,Major sales growth
1942,India,Powder Coatings,15020,4543,6.86%,23.26%,22.81%,Expansion
1942,Middle East,Decorative Paints,40344,8704,9.61%,35.78%,21.77%,Technological advancement
1942,Middle East,Industrial Coatings,46305,8166,10.63%,18.45%,17.91%,Technological advancement
1942,Middle East,Automotive Coatings,32150,362,11.20%,36.29%,17.54%,Expansion
1942,Middle East,Protective Coatings,24756,4174,6.48%,36.71%,18.15%,Expansion
1942,Middle East,Powder Coatings,34933,470,11.84%,38.95%,16.96%,Technological advancement
1942,Asia-Pacific,Decorative Paints,30589,3080,11.40%,43.63%,23.63%,Technological advancement
1942,Asia-Pacific,Industrial Coatings,10291,75,13.86%,15.70%,16.83%,Expansion
1942,Asia-Pacific,Automotive Coatings,18642,4175,11.81%,22.48%,16.21%,Expansion
1942,Asia-Pacific,Protective Coatings,34658,6264,10.65%,39.57%,18.56%,Major sales growth
1942,Asia-Pacific,Powder Coatings,36608,3760,11.35%,18.61%,17.69%,New product line
1942,Africa,Decorative Paints,47624,2567,7.42%,34.30%,15.13%,Expansion
1942,Africa,Industrial Coatings,13262,7189,11.11%,28.14%,23.61%,New product line
1942,Africa,Automotive Coatings,47871,6255,13.65%,23.96%,20.01%,New product line
1942,Africa,Protective Coatings,12187,1751,9.66%,16.38%,18.59%,Market leader
1942,Africa,Powder Coatings,16086,3088,10.57%,32.18%,20.82%,Market leader
1942,Europe,Decorative Paints,25419,9102,12.00%,36.09%,17.62%,Major sales growth
1942,Europe,Industrial Coatings,33829,6800,9.77%,41.45%,22.05%,New product line
1942,Europe,Automotive Coatings,17742,2324,5.90%,12.75%,23.37%,New product line
1942,Europe,Protective Coatings,39905,3879,9.41%,26.97%,18.01%,Expansion
1942,Europe,Powder Coatings,41816,794,7.58%,29.77%,23.60%,Technological advancement
1945,India,Decorative Paints,18455,9297,10.57%,30.78%,24.28%,Market leader
1945,India,Industrial Coatings,32490,6405,11.88%,48.29%,23.32%,New product line
1945,India,Automotive Coatings,23953,1904,5.14%,33.82%,24.38%,Expansion
1945,India,Protective Coatings,25194,8391,14.70%,49.00%,23.97%,Technological advancement
1945,India,Powder Coatings,45022,5022,6.16%,34.67%,18.76%,Major sales growth
1945,Middle East,Decorative Paints,4768,3801,14.95%,44.23%,21.39%,Major sales growth
1945,Middle East,Industrial Coatings,29128,8243,9.59%,38.14%,18.75%,New product line
1945,Middle East,Automotive Coatings,11065,1966,5.85%,38.95%,21.63%,Technological advancement
1945,Middle East,Protective Coatings,24660,217,7.92%,49.54%,23.14%,Expansion
1945,Middle East,Powder Coatings,41276,6735,9.17%,23.40%,20.26%,Major sales growth
1945,Asia-Pacific,Decorative Paints,26156,9296,8.20%,45.33%,15.90%,Major sales growth
1945,Asia-Pacific,Industrial Coatings,40275,9672,13.00%,42.68%,22.52%,Major sales growth
1945,Asia-Pacific,Automotive Coatings,49791,7713,9.26%,29.76%,15.97%,Major sales growth
1945,Asia-Pacific,Protective Coatings,18617,9336,14.02%,31.73%,18.18%,Expansion
1945,Asia-Pacific,Powder Coatings,41963,6728,6.61%,37.33%,15.53%,Market leader
1945,Africa,Decorative Paints,17595,2155,11.01%,18.11%,18.58%,Major sales growth
1945,Africa,Industrial Coatings,5368,2967,13.79%,40.63%,23.09%,New product line
1945,Africa,Automotive Coatings,31475,4078,9.63%,10.74%,20.28%,Major sales growth
1945,Africa,Protective Coatings,23203,227,13.91%,21.21%,23.95%,Technological advancement
1945,Africa,Powder Coatings,2085,431,14.01%,20.99%,23.69%,New product line
1945,Europe,Decorative Paints,4156,2355,9.45%,15.97%,17.78%,New product line
1945,Europe,Industrial Coatings,45329,9343,8.45%,24.35%,20.29%,Technological advancement
1945,Europe,Automotive Coatings,27645,3404,7.71%,21.34%,16.81%,Market leader
1945,Europe,Protective Coatings,37297,5805,5.12%,14.79%,19.16%,Technological advancement
1945,Europe,Powder Coatings,22022,901,12.69%,15.60%,20.61%,Market leader
1948,India,Decorative Paints,27304,4258,13.68%,15.06%,22.78%,New product line
1948,India,Industrial Coatings,19273,9939,9.94%,20.83%,21.06%,Expansion
1948,India,Automotive Coatings,30396,2055,14.16%,36.65%,19.47%,Expansion
1948,India,Protective Coatings,39914,422,5.53%,36.47%,16.80%,Market leader
1948,India,Powder Coatings,19932,9644,9.74%,31.89%,20.82%,Major sales growth
1948,Middle East,Decorative Paints,39584,9694,12.58%,48.57%,24.11%,Technological advancement
